_id,bulan,wisnu,wisman,Jumlah
1,Januari,26505,1236,27741
2,Februari,26386,1547,27933
3,Maret,29896,1508,31404
4,April,31119,1490,32609
5,Mei,24670,780,25450
6,Juni,34551,896,35447
7,Juli,37823,1557,39380
8,Agustus,38039,2333,40372
9,September,40699,1182,41881
10,Oktober,60232,2970,63202
11,November,67385,3102,70487
12,Desember,65017,3069,68086
